City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Bilma,NE,88.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
586,Riyadh,SA,82.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
587,Kilindoni,TZ,77.52,clear sky,-7.9139,39.6668,Bustani B&B
588,Harindanga,IN,82.38,overcast clouds,22.0383,88.3214,Hasanur Builders
592,Ruwi,OM,89.29,overcast clouds,23.5996,58.5507,Al Falaj Hotel
593,San Carlos,VE,86.0,broken clouds,9.6612,-68.5827,Hotel Paternopoli
595,Morgan City,US,88.0,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
597,San Carlos Del Zulia,VE,89.33,overcast clouds,9.0,-71.9135,Hotel El Manantial
598,Iwata,JP,73.45,heavy intensity rain,34.7,137.85,Kuretakeiniwata
599,Kulhudhuffushi,MV,82.06,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
601,Killin,US,84.15,overcast clouds,33.6123,-91.7412,US Forestry Department
602,Garowe,SO,82.08,overcast clouds,8.4054,48.4845,Curubo Hotel
605,Sinnamary,GF,83.3,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
611,Moyale,KE,71.47,overcast clouds,3.5167,39.0584,La Tahzan Guest House
612,Vao,NC,70.45,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
613,Gerash,IR,80.74,broken clouds,27.6652,54.1371,Sa'adat House
615,Nicoya,CR,83.75,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
619,Morehead,US,86.63,scattered clouds,37.2711,-87.1764,CCI Express Inn
620,Surt,LY,78.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
622,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
624,Teknaf,BD,77.72,few clouds,20.8624,92.3058,Forestry Guesthouse
626,Fernley,US,73.02,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
631,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
632,Piacabucu,BR,77.79,few clouds,-10.4056,-36.4344,Piaçabuçu News
636,Fukue,JP,76.06,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
637,Along,IN,72.97,broken clouds,28.1667,94.7667,Hotel West
640,Eucaliptus,BO,71.29,broken clouds,-17.5833,-67.5167,Hotel Serrano
641,Mahibadhoo,MV,82.22,overcast clouds,3.7833,72.9667,Omadhoo Inn
643,Ler,SS,75.9,clear sky,8.3018,30.1418,
644,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
645,Thunder Bay,CA,81.0,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
646,Sorong,ID,80.29,scattered clouds,-0.8833,131.25,waigo splash hotel
649,Savanur,IN,70.29,broken clouds,14.9667,75.35,Shidramayya Hiremath S/o Fakkirayya Mathapati
650,Ormara,PK,85.91,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
653,Afua,BR,87.89,scattered clouds,-0.1567,-50.3867,Hotel Dias
655,Wanning,CN,77.07,clear sky,18.8003,110.3967,Paradise Hotel
656,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
657,Kedougou,SN,79.65,broken clouds,12.5579,-12.1743,Relais de Kédougou
661,Jiangyou,CN,73.67,light rain,31.7667,104.7167,Shangping Shuyuan Inn
666,Menongue,AO,75.36,overcast clouds,-14.6585,17.691,Ritz Lauca
667,Gizo,SB,81.55,broken clouds,-8.103,156.8419,Imagination Island
668,El Reno,US,77.05,overcast clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
671,Misratah,LY,78.21,clear sky,32.3754,15.0925,فندق الماسة
683,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
684,Coahuayana,MX,87.24,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
685,Nabire,ID,76.26,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
687,Calabar,NG,75.15,moderate rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
688,Pedernales,DO,83.89,few clouds,18.0384,-71.744,Hotel Costa Marina
689,Camocim,BR,82.31,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
690,Ipixuna,BR,84.15,few clouds,-1.7625,-48.8043,Casa da Oscarina
694,Zambezi,ZM,73.09,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
695,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
698,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
699,Moanda,GA,71.58,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
700,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
702,Surin,TH,77.23,overcast clouds,14.8818,103.4936,One Fu Hotel
703,Sao Felix Do Xingu,BR,85.23,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
705,Segou,ML,82.42,overcast clouds,13.4317,-6.2157,Comme chez soi
706,Dickinson,US,86.22,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
