City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Leningradskiy,RU,69.3833,178.4167,24.03,95,100,12.8,light snow
193,Acapulco,MX,16.8634,-99.8901,85.82,70,40,3.44,scattered clouds
194,Chara,RU,56.9064,118.2631,27.9,71,97,2.35,overcast clouds
195,Tarnogskiy Gorodok,RU,60.4997,43.5761,44.1,98,81,4.52,broken clouds
196,Tilichiki,RU,60.4667,166.1,25.65,52,24,8.28,few clouds
197,Coihaique,CL,-45.5752,-72.0662,48.81,46,75,8.05,broken clouds
198,Darhan,MN,49.4867,105.9228,35.62,64,49,3.85,scattered clouds
199,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,85,92,2.37,overcast clouds
200,Tuatapere,NZ,-46.1333,167.6833,49.82,83,88,3.89,overcast clouds
201,Batemans Bay,AU,-35.7167,150.1833,60.1,92,100,3.85,overcast clouds
202,San Jose El Idolo,GT,14.45,-91.4167,97.14,80,59,2.33,broken clouds
203,Lebu,CL,-37.6167,-73.65,54.27,64,31,10.63,scattered clouds
204,Issenye,TZ,-2.0,34.3333,75.58,54,100,5.06,overcast clouds
205,Kita,ML,13.0349,-9.4895,80.22,69,7,0.69,clear sky
206,Provideniya,RU,64.3833,-173.3,33.91,64,75,15.66,broken clouds
207,Amos,CA,48.5669,-78.1162,53.87,68,90,4.99,overcast clouds
208,Bend,US,44.0582,-121.3153,73.85,30,1,4.0,clear sky
209,Tessalit,ML,20.1986,1.0114,88.38,8,14,13.29,few clouds
210,Sur,OM,22.5667,59.5289,88.5,59,100,8.21,overcast clouds
211,Viedma,AR,-40.8135,-62.9967,69.15,18,1,15.84,clear sky
212,Fallon,US,39.4735,-118.7774,70.92,17,1,3.44,clear sky
213,Sungaipenuh,ID,-2.0833,101.3833,63.59,94,100,0.76,overcast clouds
214,Vardo,NO,70.3705,31.1107,44.8,86,23,14.7,few clouds
215,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,5.99,overcast clouds
216,Bambanglipuro,ID,-7.95,110.2833,61.61,85,97,3.96,overcast clouds
217,Wadi Musa,JO,30.3222,35.4793,66.18,34,0,4.52,clear sky
218,Jieshi,CN,22.8134,115.8257,81.68,82,5,7.02,clear sky
219,Ahipara,NZ,-35.1667,173.1667,57.02,69,77,8.3,broken clouds
220,Nanortalik,GL,60.1432,-45.2371,37.51,56,0,2.82,clear sky
221,Half Moon Bay,US,37.4636,-122.4286,87.82,42,0,7.29,clear sky
222,Hasaki,JP,35.7333,140.8333,70.29,90,100,18.59,heavy intensity rain
223,Poltavka,RU,54.3663,71.7632,36.45,71,100,8.66,overcast clouds
224,Lata,PT,40.1629,-8.3327,63.07,78,48,2.08,scattered clouds
225,Port Hardy,CA,50.6996,-127.4199,53.6,87,75,8.05,shower rain
226,Yarada,IN,17.65,83.2667,80.92,94,20,2.3,few clouds
227,Benguela,AO,-12.5763,13.4055,71.08,80,100,3.58,overcast clouds
228,Pangoa,PE,-12.1167,-73.0,90.12,38,23,6.67,few clouds
229,Evanston,US,42.0411,-87.6901,87.46,52,75,1.01,broken clouds
230,Chifeng,CN,42.2683,118.9636,48.87,60,5,4.79,clear sky
231,Kruisfontein,ZA,-34.0033,24.7314,60.89,99,100,9.08,overcast clouds
232,Abha,SA,18.2164,42.5053,64.65,63,0,0.0,clear sky
233,Waikuku,NZ,-43.3,172.6833,48.09,85,0,3.33,clear sky
234,Camana,PE,-16.6228,-72.7111,67.28,69,24,6.91,few clouds
235,Rivadavia,AR,-33.1905,-68.4608,73.87,19,0,13.56,clear sky
236,Namibe,AO,-15.1961,12.1522,62.02,84,18,10.89,few clouds
237,Nchelenge,ZM,-9.3451,28.734,78.66,55,55,5.37,broken clouds
238,Catalca,TR,41.1432,28.4615,62.96,65,100,18.97,overcast clouds
239,Hofn,IS,64.2539,-15.2082,45.32,76,100,28.14,light rain
240,Kaduqli,SD,11.0167,29.7167,77.45,52,3,1.32,clear sky
241,Lompoc,US,34.6391,-120.4579,93.78,27,1,12.66,clear sky
242,Te Anau,NZ,-45.4167,167.7167,42.04,89,54,0.96,broken clouds
243,Yulara,AU,-25.2406,130.9889,53.44,37,0,0.0,clear sky
244,Burnie,AU,-41.0667,145.9167,58.91,84,97,16.33,overcast clouds
245,Qandala,SO,11.472,49.8728,88.23,60,89,3.02,overcast clouds
246,Pisco,PE,-13.7,-76.2167,69.85,64,0,16.11,clear sky
247,Labytnangi,RU,66.6572,66.4183,33.75,79,55,10.0,broken clouds
248,Nemuro,JP,43.3236,145.575,61.43,95,89,3.67,overcast clouds
249,Bandarbeyla,SO,9.4942,50.8122,79.09,80,100,25.26,overcast clouds
250,Beringovskiy,RU,63.05,179.3167,31.15,88,100,17.85,overcast clouds
251,Paracatu,BR,-17.2222,-46.8747,89.46,28,85,3.69,overcast clouds
252,Baymak,RU,52.5933,58.3225,32.09,72,4,4.99,clear sky
253,Kaitangata,NZ,-46.2817,169.8464,50.94,68,99,10.94,overcast clouds
254,Shasta Lake,US,40.6804,-122.3708,88.09,15,2,5.88,clear sky
255,Trinidad,BO,-14.8333,-64.9,96.78,44,40,11.5,scattered clouds
256,Maridi,SS,4.9158,29.4742,67.51,89,100,4.7,light rain
257,Jimo,CN,36.3897,120.4622,69.58,88,56,6.71,broken clouds
258,Sitka,US,57.0531,-135.33,49.89,87,75,8.05,light rain
259,Terre-De-Bas,GP,15.8501,-61.6442,91.81,69,10,9.35,clear sky
260,Honiara,SB,-9.4333,159.95,79.11,81,89,5.53,overcast clouds
261,Kotri,PK,25.366,68.3122,79.48,84,100,12.19,overcast clouds
262,Pandan,PH,14.0453,124.1694,79.86,82,85,3.94,overcast clouds
263,Truro,GB,50.2653,-5.0544,61.97,100,75,18.41,broken clouds
264,Grinnell,US,41.743,-92.7224,89.11,50,1,11.01,clear sky
265,Baie-Comeau,CA,49.2168,-68.1489,49.68,93,90,9.22,mist
266,Tarakan,ID,3.3,117.6333,80.6,79,54,2.68,broken clouds
267,Poum,NC,-20.2333,164.0167,73.22,81,81,16.24,broken clouds
268,Gunnedah,AU,-30.9833,150.25,56.82,91,80,3.42,broken clouds
269,Souillac,MU,-20.5167,57.5167,72.36,78,40,12.66,scattered clouds
