City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Butaritari,KI,2021-09-29 16:49:04,3.0707,172.7902,81.55,78,96,14.97
128,Chanute,US,2021-09-29 16:49:05,37.6792,-95.4572,77.43,88,1,6.91
129,Port-Gentil,GA,2021-09-29 16:49:05,-0.7193,8.7815,84.16,74,75,16.11
130,Norfolk,US,2021-09-29 16:49:05,42.1668,-71.2495,65.08,61,1,1.01
131,Xuddur,SO,2021-09-29 16:49:06,4.1213,43.8894,82.65,48,84,10.27
132,Itarema,BR,2021-09-29 16:49:07,-2.9248,-39.9167,88.21,57,6,19.3
133,Ilebo,CD,2021-09-29 16:49:07,-4.3167,20.5833,77.61,77,100,3.02
134,Harnosand,SE,2021-09-29 16:49:08,62.6323,17.9379,52.0,94,87,12.12
135,Dunedin,NZ,2021-09-29 16:49:08,-45.8742,170.5036,41.81,76,79,1.99
136,Kavieng,PG,2021-09-29 16:49:09,-2.5744,150.7967,82.08,79,58,14.43
137,Ancud,CL,2021-09-29 16:46:45,-41.8697,-73.8203,49.53,76,100,13.29
138,Nakatsu,JP,2021-09-29 16:49:10,33.5981,131.1883,77.18,87,20,6.55
139,Palmer,US,2021-09-29 16:49:10,42.1584,-72.3287,65.98,52,20,1.01
140,Longyearbyen,SJ,2021-09-29 16:45:52,78.2186,15.6401,33.64,86,75,3.44
141,Georgetown,MY,2021-09-29 16:45:10,5.4112,100.3354,78.73,92,40,1.01
142,Kamyshlov,RU,2021-09-29 16:49:11,56.8428,62.7111,37.22,72,65,7.16
143,Ilulissat,GL,2021-09-29 16:49:11,69.2167,-51.1,32.02,37,40,6.91
144,Polunochnoye,RU,2021-09-29 16:49:12,60.8697,60.4153,31.3,89,17,2.82
145,Oranjemund,NA,2021-09-29 16:49:13,-28.55,16.4333,57.72,86,28,15.39
146,Newport,GB,2021-09-29 16:49:13,51.5877,-2.9984,59.63,59,66,11.52
147,Barrow,US,2021-09-29 16:46:00,71.2906,-156.7887,28.42,74,90,9.22
148,Calvinia,ZA,2021-09-29 16:49:14,-31.4707,19.776,65.71,29,10,16.42
149,Mar Del Plata,AR,2021-09-29 16:45:21,-38.0023,-57.5575,62.62,28,20,25.01
150,San Vicente,AR,2021-09-29 16:49:15,-26.6167,-54.1333,86.61,39,12,4.16
151,Aswan,EG,2021-09-29 16:49:15,24.0934,32.907,92.5,15,0,11.5
152,Cabo San Lucas,MX,2021-09-29 16:45:25,22.8909,-109.9124,88.52,64,12,6.67
